order_id,user_id,order_date,amount,status
1,1,2026-08-01,1250,completed
2,2,2026-08-01,1500,completed
3,3,2026-08-01,1750,completed
4,4,2026-08-01,2000,completed
5,5,2026-08-01,2250,completed
6,6,2026-08-01,2500,completed
7,7,2026-08-01,2750,completed
8,8,2026-08-01,3000,completed
9,9,2026-08-01,3250,completed
10,10,2026-08-01,3500,completed
11,11,2026-08-01,3750,completed
12,12,2026-08-01,4000,completed
13,13,2026-08-01,4250,completed
14,14,2026-08-01,4500,completed
15,15,2026-08-01,4750,completed
16,16,2026-08-01,5000,completed
17,17,2026-08-01,5250,completed
18,18,2026-08-01,5500,completed
19,19,2026-08-01,5750,completed
20,20,2026-08-01,1000,completed
21,21,2026-08-01,1250,completed
22,22,2026-08-01,1500,completed
23,23,2026-08-01,1750,completed
24,24,2026-08-01,2000,completed
25,25,2026-08-01,2250,completed
26,26,2026-08-01,2500,completed
27,27,2026-08-01,2750,completed
28,28,2026-08-01,3000,completed
29,29,2026-08-01,3250,completed
30,30,2026-08-01,3500,completed
31,31,2026-08-01,3750,completed
32,32,2026-08-01,4000,completed
33,33,2026-08-01,4250,completed
34,34,2026-08-01,4500,completed
35,35,2026-08-01,4750,completed
36,36,2026-08-01,5000,completed
37,37,2026-08-01,5250,completed
38,38,2026-08-01,5500,completed
39,39,2026-08-01,5750,completed
40,40,2026-08-01,1000,completed
41,41,2026-08-01,1250,completed
42,42,2026-08-01,1500,completed
43,43,2026-08-01,1750,completed
44,44,2026-08-01,2000,completed
45,45,2026-08-01,2250,completed
46,46,2026-08-01,2500,completed
47,47,2026-08-01,2750,completed
48,48,2026-08-01,3000,completed
49,49,2026-08-01,3250,completed
50,50,2026-08-01,3500,completed
51,51,2026-08-01,3750,completed
52,52,2026-08-01,4000,completed
53,53,2026-08-01,4250,completed
54,54,2026-08-01,4500,completed
55,55,2026-08-01,4750,completed
56,56,2026-08-01,5000,completed
57,57,2026-08-01,5250,completed
58,58,2026-08-01,5500,completed
59,59,2026-08-01,5750,completed
60,60,2026-08-01,1000,completed
61,61,2026-08-01,1250,completed
62,62,2026-08-01,1500,completed
63,63,2026-08-01,1750,completed
64,64,2026-08-01,2000,completed
65,65,2026-08-01,2250,completed
66,66,2026-08-01,2500,completed
67,67,2026-08-01,2750,completed
68,68,2026-08-01,3000,completed
69,69,2026-08-01,3250,completed
70,70,2026-08-01,3500,completed
71,71,2026-08-01,3750,completed
72,72,2026-08-01,4000,completed
73,73,2026-08-01,4250,completed
74,74,2026-08-01,4500,completed
75,75,2026-08-01,4750,completed
76,76,2026-08-01,5000,completed
77,77,2026-08-01,5250,completed
78,78,2026-08-01,5500,completed
79,79,2026-08-01,5750,completed
80,80,2026-08-01,1000,completed
81,81,2026-08-01,1250,completed
82,82,2026-08-01,1500,completed
83,83,2026-08-01,1750,completed
84,84,2026-08-01,2000,completed
85,85,2026-08-01,2250,completed
86,86,2026-08-01,2500,completed
87,87,2026-08-01,2750,completed
88,88,2026-08-01,3000,completed
89,89,2026-08-01,3250,completed
90,90,2026-08-01,3500,completed
91,91,2026-08-01,3750,completed
92,92,2026-08-01,4000,completed
93,93,2026-08-01,4250,completed
94,94,2026-08-01,4500,completed
95,95,2026-08-01,4750,completed
96,96,2026-08-01,5000,completed
97,97,2026-08-01,5250,completed
98,98,2026-08-01,5500,completed
99,99,2026-08-01,5750,completed
100,100,2026-08-01,1000,completed
101,101,2026-08-01,1250,completed
102,102,2026-08-01,1500,completed
103,103,2026-08-01,1750,completed
104,104,2026-08-01,2000,completed
105,105,2026-08-01,2250,completed
106,106,2026-08-01,2500,completed
107,107,2026-08-01,2750,completed
108,108,2026-08-01,3000,completed
109,109,2026-08-01,3250,completed
110,110,2026-08-01,3500,completed
111,111,2026-08-01,3750,completed
112,112,2026-08-01,4000,completed
113,113,2026-08-01,4250,completed
114,114,2026-08-01,4500,completed
115,115,2026-08-01,4750,completed
116,116,2026-08-01,5000,completed
117,117,2026-08-01,5250,completed
118,118,2026-08-01,5500,completed
119,119,2026-08-01,5750,completed
120,120,2026-08-01,1000,completed
121,121,2026-08-01,1250,completed
122,122,2026-08-01,1500,completed
123,123,2026-08-01,1750,completed
124,124,2026-08-01,2000,completed
125,125,2026-08-01,2250,completed
