user_id,event_name,event_date
1,visit,2026-08-01
2,visit,2026-08-01
3,visit,2026-08-01
4,visit,2026-08-01
5,visit,2026-08-01
6,visit,2026-08-01
7,visit,2026-08-01
8,visit,2026-08-01
9,visit,2026-08-01
10,visit,2026-08-01
11,visit,2026-08-01
12,visit,2026-08-01
13,visit,2026-08-01
14,visit,2026-08-01
15,visit,2026-08-01
16,visit,2026-08-01
17,visit,2026-08-01
18,visit,2026-08-01
19,visit,2026-08-01
20,visit,2026-08-01
21,visit,2026-08-01
22,visit,2026-08-01
23,visit,2026-08-01
24,visit,2026-08-01
25,visit,2026-08-01
26,visit,2026-08-01
27,visit,2026-08-01
28,visit,2026-08-01
29,visit,2026-08-01
30,visit,2026-08-01
31,visit,2026-08-01
32,visit,2026-08-01
33,visit,2026-08-01
34,visit,2026-08-01
35,visit,2026-08-01
36,visit,2026-08-01
37,visit,2026-08-01
38,visit,2026-08-01
39,visit,2026-08-01
40,visit,2026-08-01
41,visit,2026-08-01
42,visit,2026-08-01
43,visit,2026-08-01
44,visit,2026-08-01
45,visit,2026-08-01
46,visit,2026-08-01
47,visit,2026-08-01
48,visit,2026-08-01
49,visit,2026-08-01
50,visit,2026-08-01
51,visit,2026-08-01
52,visit,2026-08-01
53,visit,2026-08-01
54,visit,2026-08-01
55,visit,2026-08-01
56,visit,2026-08-01
57,visit,2026-08-01
58,visit,2026-08-01
59,visit,2026-08-01
60,visit,2026-08-01
61,visit,2026-08-01
62,visit,2026-08-01
63,visit,2026-08-01
64,visit,2026-08-01
65,visit,2026-08-01
66,visit,2026-08-01
67,visit,2026-08-01
68,visit,2026-08-01
69,visit,2026-08-01
70,visit,2026-08-01
71,visit,2026-08-01
72,visit,2026-08-01
73,visit,2026-08-01
74,visit,2026-08-01
75,visit,2026-08-01
76,visit,2026-08-01
77,visit,2026-08-01
78,visit,2026-08-01
79,visit,2026-08-01
80,visit,2026-08-01
81,visit,2026-08-01
82,visit,2026-08-01
83,visit,2026-08-01
84,visit,2026-08-01
85,visit,2026-08-01
86,visit,2026-08-01
87,visit,2026-08-01
88,visit,2026-08-01
89,visit,2026-08-01
90,visit,2026-08-01
91,visit,2026-08-01
92,visit,2026-08-01
