order_id,user_id,order_date,amount,status,product_id
1,1,2026-01-04,637,completed,101
2,1,2026-01-21,948,completed,102
3,2,2026-01-07,774,completed,102
4,2,2026-01-24,1085,completed,103
5,2,2026-02-10,1396,completed,104
6,3,2026-01-10,911,completed,103
7,3,2026-01-27,1222,completed,104
8,3,2026-02-13,1533,completed,105
9,3,2026-03-02,1844,completed,106
10,4,2026-01-13,1048,completed,104
11,4,2026-01-30,1359,completed,105
12,4,2026-02-16,1670,completed,106
13,4,2026-03-05,1981,completed,107
14,4,2026-03-22,2292,completed,108
15,5,2026-01-16,1185,completed,105
16,6,2026-01-19,1322,completed,106
17,6,2026-02-05,1633,completed,107
18,7,2026-01-22,1459,completed,107
19,7,2026-02-08,1770,completed,108
20,7,2026-02-25,2081,completed,109
21,8,2026-01-25,1596,completed,108
22,8,2026-02-11,1907,completed,109
23,8,2026-02-28,2218,cancelled,100
24,8,2026-03-17,2529,completed,101
25,9,2026-01-28,1733,completed,109
26,9,2026-02-14,2044,cancelled,100
27,9,2026-03-03,2355,completed,101
28,9,2026-03-20,2666,completed,102
29,9,2026-04-06,2977,completed,103
30,10,2026-01-31,1870,cancelled,100
31,11,2026-02-03,2007,completed,101
32,11,2026-02-20,2318,completed,102
33,12,2026-02-06,2144,completed,102
34,12,2026-02-23,2455,completed,103
35,12,2026-03-12,2766,completed,104
36,13,2026-02-09,2281,completed,103
37,13,2026-02-26,2592,completed,104
38,13,2026-03-15,2903,completed,105
39,13,2026-04-01,3214,completed,106
40,14,2026-02-12,2418,completed,104
41,14,2026-03-01,2729,completed,105
42,14,2026-03-18,3040,completed,106
43,14,2026-04-04,3351,completed,107
44,14,2026-04-21,3662,completed,108
45,15,2026-02-15,2555,completed,105
46,16,2026-02-18,2692,completed,106
47,16,2026-03-07,3003,completed,107
48,17,2026-02-21,2829,completed,107
49,17,2026-03-10,3140,completed,108
50,17,2026-03-27,3451,completed,109
51,18,2026-02-24,2966,completed,108
52,18,2026-03-13,3277,completed,109
53,18,2026-03-30,3588,cancelled,100
54,18,2026-04-16,3899,completed,101
55,19,2026-02-27,3103,completed,109
56,19,2026-03-16,3414,cancelled,100
57,19,2026-04-02,3725,completed,101
58,19,2026-04-19,4036,completed,102
59,19,2026-05-06,4347,completed,103
60,20,2026-03-02,3240,cancelled,100
61,21,2026-03-05,3377,completed,101
62,21,2026-03-22,3688,completed,102
63,22,2026-03-08,3514,completed,102
64,22,2026-03-25,3825,completed,103
65,22,2026-04-11,4136,completed,104
66,23,2026-03-11,3651,completed,103
67,23,2026-03-28,3962,completed,104
68,23,2026-04-14,4273,completed,105
69,23,2026-05-01,4584,completed,106
70,24,2026-03-14,3788,completed,104
71,24,2026-03-31,4099,completed,105
72,24,2026-04-17,4410,completed,106
73,24,2026-05-04,4721,completed,107
74,24,2026-05-21,5032,completed,108
75,25,2026-03-17,3925,completed,105
76,26,2026-03-20,4062,completed,106
77,26,2026-04-06,4373,completed,107
78,27,2026-03-23,4199,completed,107
79,27,2026-04-09,4510,completed,108
80,27,2026-04-26,4821,completed,109
81,28,2026-03-26,4336,completed,108
82,28,2026-04-12,4647,completed,109
83,28,2026-04-29,4958,cancelled,100
84,28,2026-05-16,5269,completed,101
85,29,2026-03-29,4473,completed,109
86,29,2026-04-15,4784,cancelled,100
87,29,2026-05-02,5095,completed,101
88,29,2026-05-19,5406,completed,102
89,29,2026-06-05,5717,completed,103
90,30,2026-04-01,4610,cancelled,100
91,31,2026-04-04,4747,completed,101
92,31,2026-04-21,5058,completed,102
93,32,2026-04-07,4884,completed,102
94,32,2026-04-24,5195,completed,103
95,32,2026-05-11,5506,completed,104
96,33,2026-04-10,5021,completed,103
97,33,2026-04-27,5332,completed,104
98,33,2026-05-14,5643,completed,105
99,33,2026-05-31,5954,completed,106
100,34,2026-04-13,5158,completed,104
101,34,2026-04-30,5469,completed,105
102,34,2026-05-17,5780,completed,106
103,34,2026-06-03,6091,completed,107
104,34,2026-06-20,6402,completed,108
105,35,2026-04-16,5295,completed,105
106,36,2026-04-19,5432,completed,106
107,36,2026-05-06,5743,completed,107
108,37,2026-04-22,5569,completed,107
109,37,2026-05-09,5880,completed,108
110,37,2026-05-26,6191,completed,109
111,38,2026-04-25,5706,completed,108
112,38,2026-05-12,6017,completed,109
113,38,2026-05-29,6328,cancelled,100
114,38,2026-06-15,6639,completed,101
115,39,2026-04-28,5843,completed,109
116,39,2026-05-15,6154,cancelled,100
117,39,2026-06-01,6465,completed,101
118,39,2026-06-18,6776,completed,102
119,39,2026-07-05,7087,completed,103
120,40,2026-05-01,5980,cancelled,100
121,41,2026-05-04,6117,completed,101
122,41,2026-05-21,6428,completed,102
123,42,2026-05-07,6254,completed,102
